#aguar=categories: V;model:aguar;fonts:LT #antic i dialectal, crea confusions
#arrocar=categories: V;model:trencar;fonts:LT dialectal, i crea confusions
afectar=categories: V;model:cantar;fonts:LT
afegir=categories: V;model:afegir;fonts:LT
afeixar=categories: V;model:cantar;fonts:LT
afeixegar=categories: V;model:pregar;fonts:LT
afeixugar=categories: V;model:pregar;fonts:LT
afemar=categories: V;model:cantar;fonts:LT
afemellar=categories: V;model:cantar;fonts:Jané;
afermançar=categories: V;model:començar;fonts:LT
afermar=categories: V;model:cantar;fonts:LT
aferrallar=categories: V;model:cantar;fonts:LT
aferrar=categories: V;model:cantar;fonts:LT
aferrissar=categories: V;model:acarnissar;fonts:LT
aferrussar=categories: V;model:capbussar;fonts:LT
afetgegar=categories: V;model:pregar;fonts:LT
afiançar=categories: V;model:començar;fonts:LT
afiblar=categories: V;model:cantar;fonts:LT
aficionar=categories: V;model:cantar;fonts:LT
afiganyar=categories: V;model:cantar;fonts:LT
afigurar=categories: V;model:cantar;fonts:LT
afilar=categories: V;model:cantar;fonts:LT
afilerar=categories: V;model:cantar;fonts:LT
afiliar=categories: V;model:crear;fonts:LT
afillar=categories: V;model:cantar;fonts:LT
afillolar=categories: V;model:cantar;fonts:LT
afinar=categories: V;model:abominar;fonts:LT
afincar=categories: V;model:trencar;fonts:LT
afirmar=categories: V;model:cantar;fonts:LT
afitar=categories: V;model:cantar;fonts:LT
afitorar=categories: V;model:cantar;fonts:LT
afixar=categories: V;model:cantar;fonts:LT
aflacar=categories: V;model:trencar;fonts:LT
aflamar=categories: V;model:cantar;fonts:LT
aflaquir=categories: V;model:servir;fonts:LT
aflautar=categories: V;model:cantar;fonts:LT
afligir=categories: V;model:servir;fonts:LT
aflonjar=categories: V;model:menjar;fonts:LT
aflorar=categories: V;model:cantar;fonts:LT
afluir=categories: V;model:traduir;fonts:LT
afluixar=categories: V;model:cantar;fonts:LT
afogar=categories: V;model:pregar;fonts:LT
afollar=categories: V;model:cantar;fonts:LT
afonar=categories: V;model:cantar;fonts:LT
aforar=categories: V;model:cantar;fonts:LT
aforestar=categories: V;model:cantar;fonts:LT
afrancesar=categories: V;model:aburgesar;fonts:LT
afranquir=categories: V;model:servir;fonts:LT
afrenellar=categories: V;model:cantar;fonts:LT
afrevolir=categories: V;model:servir;fonts:LT
africar=categories: V;model:trencar;fonts:LT
afrontar=categories: V;model:cantar;fonts:LT
afuar=categories: V;model:lloar;fonts:LT
afullolar=categories: V;model:cantar;fonts:LT
afusar=categories: V;model:abrusar;fonts:LT
afusellar=categories: V;model:cantar;fonts:LT
agabellar=categories: V;model:cantar;fonts:LT
agafar=categories: V;model:cantar;fonts:LT
agallinar=categories: V;model:abominar;fonts:LT
agambar=categories: V;model:cantar;fonts:LT
agamellar=categories: V;model:cantar;fonts:LT
agarbar=categories: V;model:cantar;fonts:LT
agarberar=categories: V;model:cantar;fonts:LT
agarbir=categories: V;model:servir;fonts:LT
agarbonar=categories: V;model:cantar;fonts:LT
agarbuixar=categories: V;model:cantar;fonts:LT
agarrar=categories: V;model:cantar;fonts:LT
agarrofar=categories: V;model:cantar;fonts:LT
