#anidi -ídia=categories: A;fonts: dsalut;
absolut absoluta [sup. absolutíssim]=categories: A;fonts: LT; # absolutíssim és incoherent?
absolutista=categories: A;fonts: LT;
absolutori absolutòria=categories: A;fonts: LT;
absorbefaent=categories: A;fonts: LT;
absorbent=categories: A;fonts: LT;
absorbible=categories: A;fonts: LT;
absorbidor absorbidora=categories: A;fonts: LT;
absorbidor-reflector absorbidor-reflectora=categories: A;fonts: LT;
absorciomètric absorciomètrica=categories: A;fonts: LT;
absort absorta=categories: A;fonts: LT;
absortiu absortiva=categories: A;fonts: LT;
abstemi abstèmia=categories: A;fonts: LT;
abstencionista=categories: A;fonts: LT;
abstergent=categories: A;fonts: LT;
abstersiu abstersiva=categories: A;fonts: LT;
abstinent=categories: A;fonts: LT;
abstracte abstracta [sup. abstractíssim]=categories: A; font:apertium;
abstractiu abstractiva=categories: A;fonts: LT;
abstrús abstrusa=categories: A;fonts: LT;
absurd absurda [sup. absurdíssim]=categories: A; font:apertium;
absíntic absíntica=categories: A;fonts: LT;
abterminal=categories: A;fonts: dsalut;
abufonat -ada=categories: A;fonts: AVL;
abundancial=categories: A;fonts: AVL;
abundant [sup. abundantíssim]=categories: A;fonts: LT;
abundós abundosa [sup. abundosíssim]=categories: A; font:apertium;
abunyolat abunyolada=categories: A;fonts: LT;
abusador abusadora=categories: A;fonts: LT;
abusiu abusiva=categories: A;fonts: LT;
abàsic -a=categories: A;fonts: AVL;
abàsic abàsica=categories: A;fonts: dsalut;
abàtic abàtica=categories: A;fonts: dsalut;
abúlic abúlica=categories: A;fonts: LT;
acabable=categories: A;fonts: LT;
acabador acabadora=categories: A;fonts: LT;
acabalador acabaladora=categories: A;fonts: LT;
acabat acabada [sup. acabadíssim]=categories: A; font:apertium;
academicista=categories: A;fonts: LT;
acadenat acadenada=categories: A;fonts: LT;
acadià acadiana=categories: A;fonts: LT;
acadèmic acadèmica=categories: A;fonts: LT;
acalical=categories: A;fonts: LT;
acalici acalícia=categories: A;fonts: LT;
acaliuat acaliuada=categories: A;fonts: LT;
acalorador acaloradora=categories: A;fonts: LT;
acalorat acalorada [sup. acaloradíssim]=categories: A;fonts: LT;
acalòric -a=categories: A;fonts: AVL;
acampador acampadora=categories: A;fonts: LT;
acampte acampta=categories: A;fonts: LT;
acamàntid acamàntida=categories: A;fonts: LT;
acanalat acanalada=categories: A;fonts: DIEC, DNV;
acantaci acantàcia=categories: A;fonts: LT;
acantocarp acantocarpa=categories: A;fonts: LT;
acantocefàlic acantocefàlica=categories: A;fonts: dsalut;
acantoide=categories: A;fonts: dsalut;
acantolític acantolítica=categories: A;fonts: dsalut;
acantopterigi acantopterígia=categories: A;fonts: LT;
acantòfag acantòfaga=categories: A;fonts: LT;
acantòtic acantòtica=categories: A;fonts: dsalut;
acaparador acaparadora=categories: A;fonts: LT;
acapellanat -ada=categories: A;fonts: AVL;
acapollat -ada=categories: A;fonts: AVL;
acarabassat -ada=categories: A;fonts: AVL;
acaragoladís -issa=categories: A;fonts: AVL;
acarassolat acarassolada=categories: A;fonts: LT;
